Genome	KEGG_module	Counts
MGYG000297000	M00551	27
MGYG000297000	M00023	7
MGYG000297000	M00035	3
MGYG000297000	M00135	5
MGYG000297000	M00178	50
MGYG000297000	M00179	30
MGYG000297000	M00014	1
MGYG000297000	M00009	20
MGYG000297000	M00011	17
MGYG000297000	M00149	4
MGYG000297000	M00173	18
MGYG000297000	M00374	16
MGYG000297000	M00376	15
MGYG000297000	M00331	19
MGYG000297000	M00019	7
MGYG000297000	M00570	8
MGYG000297000	M00254	8
MGYG000297000	M00096	8
MGYG000297000	M00336	3
MGYG000297000	M00051	8
MGYG000297000	M00116	3
MGYG000297000	M00083	14
MGYG000297000	M00497	2
MGYG000297000	M00114	6
MGYG000297000	M00820	3
MGYG000297000	M00572	13
MGYG000297000	M00620	6
MGYG000297000	M00569	20
MGYG000297000	M00117	13
MGYG000297000	M00128	1
MGYG000297000	M00048	8
MGYG000297000	M00628	1
MGYG000297000	M00008	4
MGYG000297000	M00061	1
MGYG000297000	M00308	3
MGYG000297000	M00631	1
MGYG000297000	M00432	4
MGYG000297000	M00535	3
MGYG000297000	M00154	3
MGYG000297000	M00545	19
MGYG000297000	M00012	3
MGYG000297000	M00168	1
MGYG000297000	M00346	6
MGYG000297000	M00740	4
MGYG000297000	M00086	7
MGYG000297000	M00544	7
MGYG000297000	M00394	3
MGYG000297000	M00121	9
MGYG000297000	M00359	16
MGYG000297000	M00360	18
MGYG000297000	M00015	3
MGYG000297000	M00017	7
MGYG000297000	M00018	7
MGYG000297000	M00020	5
MGYG000297000	M00637	17
MGYG000297000	M00028	5
MGYG000297000	M00016	20
MGYG000297000	M00525	17
MGYG000297000	M00526	16
MGYG000297000	M00527	17
MGYG000297000	M00032	6
MGYG000297000	M00258	6
MGYG000297000	M00119	15
MGYG000297000	M00239	5
MGYG000297000	M00022	7
MGYG000297000	M00033	6
MGYG000297000	M00256	2
MGYG000297000	M00260	8
MGYG000297000	M00222	4
MGYG000297000	M00364	2
MGYG000297000	M00176	4
MGYG000297000	M00188	3
MGYG000297000	M00361	7
MGYG000297000	M00362	8
MGYG000297000	M00320	3
MGYG000297000	M00038	3
MGYG000297000	M00534	6
MGYG000297000	M00144	14
MGYG000297000	M00093	3
MGYG000297000	M00049	4
MGYG000297000	M00050	4
MGYG000297000	M00052	3
MGYG000297000	M00053	4
MGYG000297000	M00242	3
MGYG000297000	M00444	2
MGYG000297000	M00709	3
MGYG000297000	M00721	2
MGYG000297000	M00723	2
MGYG000297000	M00724	2
MGYG000297000	M00744	2
MGYG000297000	M00157	8
MGYG000297000	M00118	3
MGYG000297000	M00511	1
MGYG000297000	M00140	2
MGYG000297000	M00141	1
MGYG000297000	M00532	9
MGYG000297000	M00013	6
MGYG000297000	M00036	14
MGYG000297000	M00087	11
MGYG000297000	M00153	2
MGYG000297000	M00375	12
MGYG000297000	M00636	2
MGYG000297000	M00539	13
MGYG000297000	M00115	4
MGYG000297000	M00026	9
MGYG000297000	M00373	18
MGYG000297000	M00223	1
MGYG000297000	M00183	4
MGYG000297000	M00742	4
MGYG000297000	M00695	3
MGYG000297000	M00155	3
MGYG000297000	M00082	5
MGYG000297000	M00543	4
MGYG000297000	M00088	5
MGYG000297000	M00095	6
MGYG000297000	M00434	2
MGYG000297000	M00060	7
MGYG000297000	M00120	4
MGYG000297000	M00004	6
MGYG000297000	M00006	2
MGYG000297000	M00741	9
MGYG000297000	M00129	1
MGYG000297000	M00549	1
MGYG000297000	M00255	1
MGYG000297000	M00021	5
MGYG000297000	M00063	4
MGYG000297000	M00501	2
MGYG000297000	M00646	6
MGYG000297000	M00647	8
MGYG000297000	M00699	7
MGYG000297000	M00718	7
MGYG000297000	M00728	4
MGYG000297000	M00209	2
MGYG000297000	M00624	2
MGYG000297000	M00064	5
MGYG000297000	M00793	4
MGYG000297000	M00623	1
MGYG000297000	M00125	7
MGYG000297000	M00840	3
MGYG000297000	M00546	3
MGYG000297000	M00151	3
MGYG000297000	M00152	3
MGYG000297000	M00307	16
MGYG000297000	M00189	3
MGYG000297000	M00010	3
MGYG000297000	M00338	1
MGYG000297000	M00259	3
MGYG000297000	M00377	2
MGYG000297000	M00638	5
MGYG000297000	M00835	1
MGYG000297000	M00335	10
MGYG000297000	M00122	4
MGYG000297000	M00080	4
MGYG000297000	M00438	3
MGYG000297000	M00007	3
MGYG000297000	M00165	5
MGYG000297000	M00167	3
MGYG000297000	M00156	5
MGYG000297000	M00089	3
MGYG000297000	M00429	2
MGYG000297000	M00500	1
MGYG000297000	M00124	4
MGYG000297000	M00493	2
MGYG000297000	M00595	2
MGYG000297000	M00024	2
MGYG000297000	M00025	2
MGYG000297000	M00540	2
MGYG000297000	M00001	7
MGYG000297000	M00002	5
MGYG000297000	M00003	8
MGYG000297000	M00210	1
MGYG000297000	M00538	3
MGYG000297000	M00548	1
MGYG000297000	M00325	1
MGYG000297000	M00326	1
MGYG000297000	M00339	2
MGYG000297000	M00571	1
MGYG000297000	M00575	1
MGYG000297000	M00696	1
MGYG000297000	M00697	1
MGYG000297000	M00720	1
MGYG000297000	M00821	1
MGYG000297000	M00701	1
MGYG000297000	M00357	1
MGYG000297000	M00170	1
MGYG000297000	M00605	3
MGYG000297000	M00123	2
