Genome	KEGG_class	Counts
MGYG000297002	09102	126
MGYG000297002	09132	33
MGYG000297002	09153	3
MGYG000297002	09159	9
MGYG000297002	09161	23
MGYG000297002	09164	24
MGYG000297002	09166	15
MGYG000297002	09167	5
MGYG000297002	09181	147
MGYG000297002	09105	257
MGYG000297002	09122	79
MGYG000297002	09182	392
MGYG000297002	09123	37
MGYG000297002	09131	60
MGYG000297002	09183	193
MGYG000297002	09101	201
MGYG000297002	09108	123
MGYG000297002	09193	17
MGYG000297002	09124	60
MGYG000297002	09107	36
MGYG000297002	09191	55
MGYG000297002	09106	53
MGYG000297002	09104	68
MGYG000297002	09111	42
MGYG000297002	09103	62
MGYG000297002	09141	8
MGYG000297002	09143	18
MGYG000297002	09145	48
MGYG000297002	09152	8
MGYG000297002	09110	35
MGYG000297002	09109	24
MGYG000297002	09142	1
MGYG000297002	09194	50
MGYG000297002	09192	14
MGYG000297002	09176	8
MGYG000297002	09121	4
MGYG000297002	09151	6
MGYG000297002	09162	5
MGYG000297002	09171	10
MGYG000297002	09163	4
MGYG000297002	09175	13
MGYG000297002	09172	1
MGYG000297002	09149	7
MGYG000297002	09154	1
MGYG000297002	09156	10
MGYG000297002	09158	1
