Genome	KEGG_class	Counts
MGYG000297001	09182	355
MGYG000297001	09105	243
MGYG000297001	09132	42
MGYG000297001	09181	138
MGYG000297001	09183	208
MGYG000297001	09106	50
MGYG000297001	09191	72
MGYG000297001	09194	64
MGYG000297001	09108	105
MGYG000297001	09102	117
MGYG000297001	09101	212
MGYG000297001	09161	26
MGYG000297001	09166	17
MGYG000297001	09122	42
MGYG000297001	09193	36
MGYG000297001	09143	21
MGYG000297001	09124	57
MGYG000297001	09104	39
MGYG000297001	09107	36
MGYG000297001	09192	17
MGYG000297001	09111	49
MGYG000297001	09103	67
MGYG000297001	09109	34
MGYG000297001	09141	13
MGYG000297001	09145	50
MGYG000297001	09152	24
MGYG000297001	09159	12
MGYG000297001	09175	14
MGYG000297001	09131	53
MGYG000297001	09110	36
MGYG000297001	09156	8
MGYG000297001	09123	33
MGYG000297001	09154	6
MGYG000297001	09142	16
MGYG000297001	09151	4
MGYG000297001	09162	5
MGYG000297001	09171	13
MGYG000297001	09163	2
MGYG000297001	09164	19
MGYG000297001	09176	6
MGYG000297001	09172	1
MGYG000297001	09167	5
MGYG000297001	09121	1
MGYG000297001	09149	6
MGYG000297001	09158	1
MGYG000297001	09153	2
