Genome	KEGG_class	Counts
MGYG-HGUT-00279	09191	64
MGYG-HGUT-00279	09192	34
MGYG-HGUT-00279	09193	50
MGYG-HGUT-00279	09194	84
MGYG-HGUT-00279	09167	12
MGYG-HGUT-00279	09168	32
MGYG-HGUT-00279	09154	1
MGYG-HGUT-00279	09121	6
MGYG-HGUT-00279	09165	3
MGYG-HGUT-00279	09123	39
MGYG-HGUT-00279	09122	103
MGYG-HGUT-00279	09124	103
MGYG-HGUT-00279	09109	32
MGYG-HGUT-00279	09108	166
MGYG-HGUT-00279	09107	50
MGYG-HGUT-00279	09106	44
MGYG-HGUT-00279	09105	252
MGYG-HGUT-00279	09104	147
MGYG-HGUT-00279	09103	38
MGYG-HGUT-00279	09102	133
MGYG-HGUT-00279	09101	253
MGYG-HGUT-00279	09149	10
MGYG-HGUT-00279	09183	349
MGYG-HGUT-00279	09182	505
MGYG-HGUT-00279	09181	206
MGYG-HGUT-00279	09143	18
MGYG-HGUT-00279	09142	2
MGYG-HGUT-00279	09141	3
MGYG-HGUT-00279	09166	6
MGYG-HGUT-00279	09161	11
MGYG-HGUT-00279	09145	53
MGYG-HGUT-00279	09163	3
MGYG-HGUT-00279	09132	42
MGYG-HGUT-00279	09155	1
MGYG-HGUT-00279	09156	2
MGYG-HGUT-00279	09131	90
MGYG-HGUT-00279	09151	2
MGYG-HGUT-00279	09152	7
MGYG-HGUT-00279	09110	36
MGYG-HGUT-00279	09111	38
MGYG-HGUT-00279	09159	1
