Genome	KEGG_module	Counts
MGYG-HGUT-00279	M00011	12
MGYG-HGUT-00279	M00016	8
MGYG-HGUT-00279	M00017	11
MGYG-HGUT-00279	M00014	1
MGYG-HGUT-00279	M00015	3
MGYG-HGUT-00279	M00034	10
MGYG-HGUT-00279	M00035	3
MGYG-HGUT-00279	M00018	8
MGYG-HGUT-00279	M00019	7
MGYG-HGUT-00279	M00029	5
MGYG-HGUT-00279	M00032	1
MGYG-HGUT-00279	M00033	2
MGYG-HGUT-00279	M00064	6
MGYG-HGUT-00279	M00028	3
MGYG-HGUT-00279	M00063	4
MGYG-HGUT-00279	M00052	5
MGYG-HGUT-00279	M00053	9
MGYG-HGUT-00279	M00050	9
MGYG-HGUT-00279	M00039	1
MGYG-HGUT-00279	M00093	3
MGYG-HGUT-00279	M00090	1
MGYG-HGUT-00279	M00060	10
MGYG-HGUT-00279	M00096	15
MGYG-HGUT-00279	M00095	1
MGYG-HGUT-00279	M00023	15
MGYG-HGUT-00279	M00022	19
MGYG-HGUT-00279	M00051	11
MGYG-HGUT-00279	M00036	2
MGYG-HGUT-00279	M00001	14
MGYG-HGUT-00279	M00003	11
MGYG-HGUT-00279	M00002	8
MGYG-HGUT-00279	M00005	1
MGYG-HGUT-00279	M00004	12
MGYG-HGUT-00279	M00007	7
MGYG-HGUT-00279	M00006	2
MGYG-HGUT-00279	M00009	12
MGYG-HGUT-00279	M00008	2
MGYG-HGUT-00279	M00021	3
MGYG-HGUT-00279	M00020	1
MGYG-HGUT-00279	M00026	26
MGYG-HGUT-00279	M00025	12
MGYG-HGUT-00279	M00024	11
MGYG-HGUT-00279	M00049	6
MGYG-HGUT-00279	M00048	16
MGYG-HGUT-00279	M00047	1
MGYG-HGUT-00279	M00046	4
MGYG-HGUT-00279	M00040	3
MGYG-HGUT-00279	M00089	3
MGYG-HGUT-00279	M00088	1
MGYG-HGUT-00279	M00083	7
MGYG-HGUT-00279	M00082	4
MGYG-HGUT-00279	M00086	1
