Genome	KEGG_module	Counts
MGYG000297003	M00144	14
MGYG000297003	M00124	6
MGYG000297003	M00359	20
MGYG000297003	M00360	20
MGYG000297003	M00026	10
MGYG000297003	M00461	1
MGYG000297003	M00126	8
MGYG000297003	M00034	4
MGYG000297003	M00254	10
MGYG000297003	M00001	14
MGYG000297003	M00004	9
MGYG000297003	M00114	4
MGYG000297003	M00082	8
MGYG000297003	M00376	13
MGYG000297003	M00019	6
MGYG000297003	M00570	8
MGYG000297003	M00012	6
MGYG000297003	M00016	11
MGYG000297003	M00017	8
MGYG000297003	M00018	8
MGYG000297003	M00033	3
MGYG000297003	M00525	6
MGYG000297003	M00526	7
MGYG000297003	M00527	8
MGYG000297003	M00007	5
MGYG000297003	M00258	9
MGYG000297003	M00020	1
MGYG000297003	M00035	4
MGYG000297003	M00499	4
MGYG000297003	M00500	2
MGYG000297003	M00049	5
MGYG000297003	M00053	8
MGYG000297003	M00014	4
MGYG000297003	M00131	2
MGYG000297003	M00549	4
MGYG000297003	M00083	11
MGYG000297003	M00023	8
MGYG000297003	M00116	8
MGYG000297003	M00190	3
MGYG000297003	M00044	3
MGYG000297003	M00178	28
MGYG000297003	M00335	9
MGYG000297003	M00331	8
MGYG000297003	M00169	1
MGYG000297003	M00171	2
MGYG000297003	M00172	2
MGYG000297003	M00173	13
MGYG000297003	M00125	6
MGYG000297003	M00279	1
MGYG000297003	M00793	8
MGYG000297003	M00127	2
MGYG000297003	M00259	3
MGYG000297003	M00179	9
MGYG000297003	M00009	16
MGYG000297003	M00010	5
MGYG000297003	M00740	7
MGYG000297003	M00003	11
MGYG000297003	M00165	10
MGYG000297003	M00167	7
MGYG000297003	M00344	4
MGYG000297003	M00345	3
MGYG000297003	M00089	6
MGYG000297003	M00048	13
MGYG000297003	M00237	1
MGYG000297003	M00434	4
MGYG000297003	M00459	1
MGYG000297003	M00011	11
MGYG000297003	M00374	8
MGYG000297003	M00620	3
MGYG000297003	M00176	4
MGYG000297003	M00506	9
MGYG000297003	M00432	6
MGYG000297003	M00535	4
MGYG000297003	M00036	7
MGYG000297003	M00273	1
MGYG000297003	M00454	2
MGYG000297003	M00372	1
MGYG000297003	M00121	12
MGYG000297003	M00346	5
MGYG000297003	M00155	7
MGYG000297003	M00729	3
MGYG000297003	M00097	2
MGYG000297003	M00123	6
MGYG000297003	M00573	6
MGYG000297003	M00577	6
MGYG000297003	M00256	2
MGYG000297003	M00168	2
MGYG000297003	M00170	2
MGYG000297003	M00093	4
MGYG000297003	M00183	2
MGYG000297003	M00098	2
MGYG000297003	M00209	2
MGYG000297003	M00695	4
MGYG000297003	M00632	6
MGYG000297003	M00320	3
MGYG000297003	M00140	2
MGYG000297003	M00141	1
MGYG000297003	M00532	6
MGYG000297003	M00572	10
MGYG000297003	M00166	3
MGYG000297003	M00627	2
MGYG000297003	M00628	4
MGYG000297003	M00839	8
MGYG000297003	M00565	5
MGYG000297003	M00742	4
MGYG000297003	M00051	7
MGYG000297003	M00743	2
MGYG000297003	M00358	4
MGYG000297003	M00211	2
MGYG000297003	M00840	4
MGYG000297003	M00841	4
MGYG000297003	M00842	3
MGYG000297003	M00843	3
MGYG000297003	M00096	8
MGYG000297003	M00063	3
MGYG000297003	M00119	5
MGYG000297003	M00038	2
MGYG000297003	M00037	1
MGYG000297003	M00042	1
MGYG000297003	M00113	2
MGYG000297003	M00362	11
MGYG000297003	M00357	3
MGYG000297003	M00579	2
