Genome	KEGG_class	Counts
MGYG000297003	09105	259
MGYG000297003	09101	305
MGYG000297003	09102	141
MGYG000297003	09103	79
MGYG000297003	09104	91
MGYG000297003	09111	53
MGYG000297003	09108	134
MGYG000297003	09182	446
MGYG000297003	09183	403
MGYG000297003	09122	53
MGYG000297003	09181	196
MGYG000297003	09132	79
MGYG000297003	09194	100
MGYG000297003	09106	53
MGYG000297003	09149	14
MGYG000297003	09161	21
MGYG000297003	09162	7
MGYG000297003	09166	16
MGYG000297003	09176	6
MGYG000297003	09124	72
MGYG000297003	09107	63
MGYG000297003	09192	35
MGYG000297003	09191	87
MGYG000297003	09123	29
MGYG000297003	09131	53
MGYG000297003	09110	66
MGYG000297003	09142	64
MGYG000297003	09175	16
MGYG000297003	09109	44
MGYG000297003	09145	55
MGYG000297003	09193	59
MGYG000297003	09171	27
MGYG000297003	09167	6
MGYG000297003	09143	26
MGYG000297003	09151	11
MGYG000297003	09152	22
MGYG000297003	09159	11
MGYG000297003	09155	2
MGYG000297003	09121	2
MGYG000297003	09164	24
MGYG000297003	09154	11
MGYG000297003	09133	1
MGYG000297003	09172	11
MGYG000297003	09156	10
MGYG000297003	09158	1
MGYG000297003	09165	12
MGYG000297003	09141	11
MGYG000297003	09163	1
MGYG000297003	09174	1
